Content_type,Router1_type_req,Router2_type_req,Router3_type_req,Router4_type_req,Router5_type_req,Router6_type_req,Router1_total_req,Router2_total_req,Router3_total_req,Router4_total_req,Router5_total_req,Router6_total_req,Request_at_allnode,Popularity
1,897,678,635,654,987,515,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
2,42,20,301,47,38,65,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
3,1154,922,160,273,31,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
4,437,287,278,1515,1349,487,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
5,584,406,595,3,357,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
6,107,56,694,178,1591,619,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
7,8,4,58,6,595,4,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
8,936,716,8,103,722,235,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
9,937,717,8,104,730,238,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
10,1752,1531,968,1288,835,272,5448787,4304350,4227702,4005980,7914636,1689532,27590987,4
11,310,191,64,886,54,69,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
12,556,382,531,2,171,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
13,1391,1156,433,574,1288,14,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
14,5,3,36,3,385,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
15,9,4,71,7,714,5,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
16,578,400,580,3,311,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
17,916,697,2,92,579,193,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
18,1,1,4,1,47,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
19,310,191,64,885,53,69,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
20,13,6,101,10,980,8,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
21,365,231,146,1141,515,175,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
22,958,735,16,116,876,287,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
23,710,513,896,19,1473,18,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
24,1736,1514,943,1251,752,245,5448787,4304350,4227702,4005980,7914636,1689532,27590987,4
25,1441,1207,501,655,1645,22,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
26,572,395,567,2,270,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
27,23,10,169,20,1543,19,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
28,870,655,1301,70,299,122,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
29,362,230,142,1129,490,169,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
30,997,772,36,141,1181,408,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
31,1663,1437,827,1083,397,145,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
32,1174,941,179,294,89,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
33,151,82,935,295,92,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
34,8,4,59,6,603,4,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
35,1097,866,107,219,2020,911,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
36,230,135,1353,560,1226,12,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
37,816,606,1162,48,47,68,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
38,1157,924,162,276,37,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
39,1965,1762,1326,1863,2149,1016,5448787,4304350,4227702,4005980,7914636,1689532,27590987,9
40,282,171,32,767,2131,41,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
41,135,72,846,248,2309,1158,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
42,1932,1726,1270,1767,1929,842,5448787,4304350,4227702,4005980,7914636,1689532,27590987,8
43,1058,830,76,186,1681,674,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
44,1148,915,153,267,16,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
45,864,650,1285,67,265,114,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
46,15,7,115,12,1104,10,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
47,813,604,1155,47,39,66,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
48,1572,1342,689,894,65,72,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
49,162,90,996,328,213,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
50,397,256,203,1304,869,284,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
51,1187,954,192,308,136,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
52,473,315,351,1714,1807,756,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
53,125,67,795,223,2064,946,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
54,164,91,1010,336,242,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
55,273,165,23,730,1973,34,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
56,65,32,443,85,499,171,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
57,490,329,386,1811,2031,920,5448787,4304350,4227702,4005980,7914636,1689532,27590987,4
58,1618,1390,758,987,212,103,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
59,1659,1433,821,1075,379,141,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
60,12,5,86,9,852,7,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
61,1643,1416,796,1039,310,125,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
62,526,358,463,1,23,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
63,550,377,517,1,133,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
64,218,126,1291,516,1026,9,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
65,1948,1743,1297,1813,2034,923,5448787,4304350,4227702,4005980,7914636,1689532,27590987,8
66,505,341,418,1897,2227,1084,5448787,4304350,4227702,4005980,7914636,1689532,27590987,4
67,155,85,957,306,132,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
68,22,10,165,20,1514,19,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
69,1800,1583,1047,1409,1106,375,5448787,4304350,4227702,4005980,7914636,1689532,27590987,5
70,16,7,118,13,1128,11,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
71,518,351,447,1,3,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
72,311,192,65,890,60,70,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
73,167,93,1023,344,273,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
74,1676,1451,847,1111,453,159,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
75,578,400,581,3,311,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
76,448,295,300,1573,1484,558,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
77,1775,1556,1006,1345,962,318,5448787,4304350,4227702,4005980,7914636,1689532,27590987,4
78,9,4,64,6,651,4,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
79,1172,939,177,292,82,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
80,1198,965,204,320,180,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
81,1380,1145,420,558,1217,12,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
82,39,18,279,42,1,55,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
83,2,1,11,1,129,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
84,962,740,18,118,911,299,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
85,1516,1284,606,785,2208,44,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
86,808,599,1142,45,23,62,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
87,1097,867,108,219,2023,914,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
88,1066,837,82,193,1749,717,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
89,1998,1798,1384,1962,2375,1220,5448787,4304350,4227702,4005980,7914636,1689532,27590987,10
90,1586,1356,709,921,103,80,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
91,121,64,770,211,1945,855,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
92,202,116,1207,458,769,6,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
93,262,156,13,682,1764,26,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
94,543,372,503,1,100,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
95,715,517,908,20,1523,19,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
96,1440,1206,500,653,1640,22,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
97,356,225,131,1097,425,152,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
98,1425,1191,480,629,1533,19,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
99,158,87,976,317,169,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
100,361,229,140,1124,480,166,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
101,594,414,618,4,429,3,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
102,454,301,313,1609,1566,604,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
103,179,100,1085,381,427,3,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
104,74,37,495,102,711,232,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
105,56,27,389,70,296,122,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
106,670,478,798,12,1082,10,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
107,1298,1064,317,442,694,5,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
108,5,2,34,3,361,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
109,588,409,604,3,383,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
110,514,348,437,1950,2348,1195,5448787,4304350,4227702,4005980,7914636,1689532,27590987,5
111,1829,1614,1094,1482,1274,450,5448787,4304350,4227702,4005980,7914636,1689532,27590987,5
112,1133,901,139,252,2343,1190,5448787,4304350,4227702,4005980,7914636,1689532,27590987,4
113,632,445,706,7,735,5,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
114,1594,1364,721,936,127,85,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
115,796,589,1112,41,2385,54,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
116,1427,1193,482,632,1545,20,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
